ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
GB00B15KXY63,WisdomTree Heating Oil,OD7I,ETC,"0,49%",,EUR,
GB00B15KY104,WisdomTree Natural Gas,OD7L,ETC,"0,49%",,EUR,
GB00B00FHZ82,Gold Bullion Securities,GG9B,ETC,"0,40%",,EUR,PreciousMetals
JE00B1VS3W29,WisdomTree Physical Precious Metals,VZLE,ETC,"0,44%",,EUR,PreciousMetals
JE00B1VS3770,WisdomTree Physical Gold,VZLD,ETC,"0,39%",,EUR,PreciousMetals
JE00B1VS3333,WisdomTree Physical Silver,VZLC,ETC,"0,49%",,EUR,PreciousMetals
JE00B1VS2W53,WisdomTree Physical Platinum,VZLA,ETC,"0,49%",,EUR,PreciousMetals
JE00B1VS3002,WisdomTree Physical Palladium,VZLB,ETC,"0,49%",,EUR,PreciousMetals
JE00B24DMJ18,WisdomTree Industrial Metals Longer Dated,9GAK,ETC,"0,49%",,EUR,
JE00B24DMD55,WisdomTree Energy Longer Dated,9GAG,ETC,"0,49%",,EUR,
JE00B24DMK23,WisdomTree Agriculture Longer Dated,9GAL,ETC,"0,49%",,EUR,
JE00B24DMC49,WisdomTree Broad Commodities Longer Dated,9GAF,ETC,"0,49%",,EUR,
DE000A0S9GB0,Xetra-Gold,4GLD,ETC,"0,36%",,EUR,PreciousMetals
JE00B24DK975,WisdomTree WTI Crude Oil 1x Daily Short,9GA7,ETC,"0,98%",,EUR,
JE00B24DKK82,WisdomTree Silver 1x Daily Short,4RTF,ETC,"0,98%",,EUR,
JE00B24DKJ77,WisdomTree Nickel 1x Daily Short,4RTE,ETC,"0,98%",,EUR,
JE00B24DKH53,WisdomTree Natural Gas 1x Daily Short,4RTD,ETC,"0,98%",,EUR,
JE00B24DKC09,WisdomTree Gold 1x Daily Short,9GA9,ETC,"0,98%",,EUR,
JE00B2NFTD12,WisdomTree Coffee 2x Daily Leveraged,4RT2,ETC,"0,98%",,EUR,
JE00BDD9Q956,WisdomTree Natural Gas 2x Daily Leveraged,4RUC,ETC,"0,98%",,EUR,
JE00B2NFV803,WisdomTree Cocoa 2x Daily Leveraged,4RUP,ETC,"0,98%",,EUR,
JE00B2NFV134,WisdomTree Platinum 2x Daily Leveraged,4RUM,ETC,"0,98%",,EUR,
JE00B2NFTL95,WisdomTree Gold 2x Daily Leveraged,4RT8,ETC,"0,98%",,EUR,
JE00B2NFTG43,WisdomTree Corn 2x Daily Leveraged,4RT4,ETC,"0,98%",,EUR,
JE00B2NFTF36,WisdomTree Copper 2x Daily Leveraged,4RT3,ETC,"0,98%",,EUR,
JE00BDD9Q840,WisdomTree WTI Crude Oil 2x Daily Leveraged,4RT6,ETC,"0,98%",,EUR,
JE00BDD9QB77,WisdomTree Nickel 2x Daily Leveraged,4RUD,ETC,"0,98%",,EUR,
JE00B2NFTS64,WisdomTree Silver 2x Daily Leveraged,4RUE,ETC,"0,98%",,EUR,
JE00B2NFT427,WisdomTree Agriculture 2x Daily Leveraged,4RTR,ETC,"0,98%",,EUR,
JE00B2NFTW01,WisdomTree Sugar 2x Daily Leveraged,4RUH,ETC,"0,98%",,EUR,
JE00BDD9QC84,WisdomTree Wheat 2x Daily Leveraged,4RUJ,ETC,"0,98%",,EUR,
JE00B588CD74,WisdomTree Physical Swiss Gold,GZUR,ETC,"0,15%",,EUR,PreciousMetals
DE000A1EK0G3,Xtrackers Physical Gold EUR Hedged ETC,XAD1,ETC,"0,59%",,EUR,PreciousMetals
DE000A1EK0J7,Xtrackers Physical Silver EUR Hedged ETC,XAD2,ETC,"0,75%",,EUR,PreciousMetals
DE000A1EK0H1,Xtrackers Physical Platinum EUR Hedged ETC,XAD3,ETC,"0,75%",,EUR,PreciousMetals
DE000A1E0HR8,Xtrackers Physical Gold ETC (EUR),XAD5,ETC,"0,15%",,EUR,PreciousMetals
DE000A1E0HS6,Xtrackers Physical Silver ETC (EUR),XAD6,ETC,"0,40%",,EUR,PreciousMetals
JE00B4RKQV36,WisdomTree Gold - EUR Daily Hedged,00XN,ETC,"0,49%",,EUR,
JE00B7305Z55,WisdomTree Brent Crude Oil - EUR Daily Hedged,00XT,ETC,"0,49%",,EUR,
JE00B78CGV99,WisdomTree Brent Crude Oil,OOEA,ETC,"0,49%",,EUR,
JE00B78CP782,WisdomTree Brent Crude Oil Longer Dated,OOEB,ETC,"0,49%",,EUR,
JE00B78NNS84,WisdomTree Broad Commodities - EUR Daily Hedged,00XK,ETC,"0,49%",,EUR,
JE00B4PDKD43,WisdomTree Copper - EUR Daily Hedged,00XL,ETC,"0,49%",,EUR,
JE00B6XF0923,WisdomTree Natural Gas - EUR Daily Hedged,00XP,ETC,"0,49%",,EUR,
JE00B78NPQ01,WisdomTree Precious Metals - EUR Daily Hedged,00XQ,ETC,"0,49%",,EUR,
JE00B5SV2703,WisdomTree Silver - EUR Daily Hedged,00XR,ETC,"0,49%",,EUR,
